market,verdict,deployment,cause,lever,n_bets,roi,roi_lo,roi_hi,profit,hit_rate,avg_price,avg_ev,n_win,n_loss,n_push,clv_n,clv_mean,beat_close,p_value,n_games,cal_error,n_folds,fold_win_rate,max_fold_share,avg_shrink,recent_roi,cal_noise_floor,n_major,roi_major
h2h,FAIL,veto_filtered,no_edge,"The market prices this efficiently at the books we can reach. The only lever with real headroom is a sharper anchor: weight the consensus harder toward the zero-vig exchanges (novig, prophetx) and Pinnacle and re-fit the anchor weights on train folds, then re-test. If the edge is still flat, this is a line-shopping market only -- run it veto-filtered at a high EV cut rather than killing it.",2939,0.01345601767869076,-0.030698822647013364,0.055731920651149194,39.54723595767214,0.43109901326981964,113.70500183105469,0.049525191581551053,1267,1672,0,1094,0.0025868865209018165,0.4990859232175503,0.27725,2939,0.03704515154637426,14,0.5714285714285714,0.9377096612971616,0.27579959169785645,0.03246952799010617,0.02289413692476208,381,0.05735925495091359
spreads,FAIL,killed,negative_edge,"Losing, not merely flat: the selection rule is picking the wrong side systematically. Check the de-vig model first -- a multiplicative de-vig on a longshot-heavy market overstates longshot probability and will reliably buy the wrong tail. Re-run with Shin and power and compare. Kill it live until it is positive out of sample.",13310,-0.02167789123626844,-0.06857138691699678,0.02578385266859677,-288.53273235473296,0.2568745304282494,334.389404296875,0.06317151798783784,3419,9891,0,206,0.002738466390711213,0.470873786407767,0.8105,4492,0.018950621374251315,14,0.35714285714285715,,0.07150638617580767,-0.055822374065969176,0.00943312028711124,10643,-0.015800915938910066
totals,FAIL,veto_filtered,no_edge,"The market prices this efficiently at the books we can reach. The only lever with real headroom is a sharper anchor: weight the consensus harder toward the zero-vig exchanges (novig, prophetx) and Pinnacle and re-fit the anchor weights on train folds, then re-test. If the edge is still flat, this is a line-shopping market only -- run it veto-filtered at a high EV cut rather than killing it.",3594,0.01260539630217701,-0.06915881231309289,0.09719768581653196,45.30379431002417,0.43350027824151366,156.6391143798828,0.13692464066821658,1558,2036,0,63,0.0056022860318901925,0.4603174603174603,0.37875,1241,0.09274887741363393,14,0.5714285714285714,1.5595306969045508,0.23750000000000002,-0.06347430847745647,0.019042991897583142,2210,-0.02825418943127608
batter_hits,FAIL,killed,negative_edge,"Losing, not merely flat: the selection rule is picking the wrong side systematically. Check the de-vig model first -- a multiplicative de-vig on a longshot-heavy market overstates longshot probability and will reliably buy the wrong tail. Re-run with Shin and power and compare. Kill it live until it is positive out of sample.",5827,-0.001221635785460976,-0.03885589157282684,0.039494685412990206,-7.118471721881107,0.3732623991762485,183.27337646484375,0.051044188261111914,2175,3652,0,1663,0.0036298408927913912,0.18340348767288034,0.525625,3155,0.022266674674153344,14,0.5,,0.46317144328127685,-0.02528414825006231,0.015193961448275567,4145,-0.009098138986889746
batter_rbis,FAIL,killed,negative_edge,"Losing, not merely flat: the selection rule is picking the wrong side systematically. Check the de-vig model first -- a multiplicative de-vig on a longshot-heavy market overstates longshot probability and will reliably buy the wrong tail. Re-run with Shin and power and compare. Kill it live until it is positive out of sample.",9833,-0.028092729364410624,-0.04964300083232004,-0.006123898638277655,-276.23580784024966,0.5160174921183769,-33.53239059448242,0.006908420020484576,5074,4759,0,2589,0.0021738949708967462,0.16222479721900349,0.994375,3961,0.01629289723728761,14,0.2857142857142857,,0.3113597071087156,0.0041187241663822975,0.011650961033257697,5474,-0.025174677797616715
batter_total_bases,FAIL,veto_filtered,no_edge,"The market prices this efficiently at the books we can reach. The only lever with real headroom is a sharper anchor: weight the consensus harder toward the zero-vig exchanges (novig, prophetx) and Pinnacle and re-fit the anchor weights on train folds, then re-test. If the edge is still flat, this is a line-shopping market only -- run it veto-filtered at a high EV cut rather than killing it.",3672,0.020910399449555944,-0.013512205457875924,0.056988613155341775,76.78298677876943,0.5108932461873639,14.506808280944824,0.09087089528053198,1876,1796,0,1579,0.002677539408263548,0.17669411019632678,0.1305,2311,0.03238111174413807,14,0.5714285714285714,0.5287402666629843,0.6666053921568628,0.006941377447792332,0.0202510715893625,1246,0.010326218768674659
batter_home_runs,FAIL,killed,negative_edge,"Losing, not merely flat: the selection rule is picking the wrong side systematically. Check the de-vig model first -- a multiplicative de-vig on a longshot-heavy market overstates longshot probability and will reliably buy the wrong tail. Re-run with Shin and power and compare. Kill it live until it is positive out of sample.",2907,-0.042164929852384354,-0.12897985853229121,0.0480561047931655,-122.57345108088131,0.22084623323013416,536.232177734375,0.08472598532247914,642,2265,0,677,0.0033836245872880663,0.2880354505169867,0.829125,1851,0.026870039047647263,14,0.42857142857142855,,0.5245270037839698,0.018891353831382355,0.017235840711956905,1613,-0.0607423297335617
runs_scored,FAIL,killed,negative_edge,"Losing, not merely flat: the selection rule is picking the wrong side systematically. Check the de-vig model first -- a multiplicative de-vig on a longshot-heavy market overstates longshot probability and will reliably buy the wrong tail. Re-run with Shin and power and compare. Kill it live until it is positive out of sample.",6433,-0.06051651101358659,-0.08638324584500352,-0.03433685124324877,-389.30271535040254,0.52137416446448,-60.30763244628906,0.012179293214569438,3354,3079,0,1567,0.0013239909172106572,0.10657306955966815,1.0,2967,0.030893241395923674,14,0.21428571428571427,,0.41439064200217623,-0.008921573140797081,0.015034702608346764,4606,-0.06375105165757743
batter_strikeouts,FAIL,killed,negative_edge,"Losing, not merely flat: the selection rule is picking the wrong side systematically. Check the de-vig model first -- a multiplicative de-vig on a longshot-heavy market overstates longshot probability and will reliably buy the wrong tail. Re-run with Shin and power and compare. Kill it live until it is positive out of sample.",698,-0.018237912574261776,-0.09720650362595556,0.06071707868841484,-12.73006297683472,0.4828080229226361,3.524355411529541,0.04100936001851439,337,361,0,2,0.0,0.0,0.67075,550,0.03246992295848341,10,0.2,,0.43896848137535815,-0.05587576276113562,0.046282112497584425,0,
pitcher_strikeouts,FAIL,killed,negative_edge,"Losing, not merely flat: the selection rule is picking the wrong side systematically. Check the de-vig model first -- a multiplicative de-vig on a longshot-heavy market overstates longshot probability and will reliably buy the wrong tail. Re-run with Shin and power and compare. Kill it live until it is positive out of sample.",6478,-0.013355595439171508,-0.04589147283645047,0.01959601905518538,-86.51754725495303,0.44334671194813213,89.08444213867188,0.0792723217449369,2872,3606,0,1642,0.00490595929903482,0.37880633373934225,0.78975,3947,0.035334729136527035,14,0.35714285714285715,,0.4073016363075023,-0.033824645820267424,0.015220887898133815,3194,-0.0335077478357819
pitcher_outs,FAIL,killed,negative_edge,"Losing, not merely flat: the selection rule is picking the wrong side systematically. Check the de-vig model first -- a multiplicative de-vig on a longshot-heavy market overstates longshot probability and will reliably buy the wrong tail. Re-run with Shin and power and compare. Kill it live until it is positive out of sample.",5193,-0.024086219981614566,-0.052664481676275264,0.005423490358941623,-125.07974036452444,0.4698632774889274,38.999229431152344,0.055735076750347806,2440,2753,0,2108,0.0039139111958477885,0.28178368121442127,0.948,3547,0.04035026585107526,14,0.35714285714285715,,0.26290679761217023,-0.04466240499912668,0.017229686902554053,1411,-0.03311409572616823
