
--- season 2023 ---
  propositions 298,293  candidates 571,610  closing 0

--- season 2024 ---
  propositions 445,614  candidates 863,094  closing 0

--- season 2025 ---
  propositions 421,428  candidates 790,209  closing 2,004

--- season 2026 ---
  propositions 345,585  candidates 658,945  closing 2,769,066

total: propositions 1,510,920  candidates 2,883,858  closing quotes 2,771,070
  20 walk-forward folds (2024-05-03 .. 2026-09-14)

=== h2h ===
  [h2h] fold 2024-05-03 train=2727 thr=0.018 shrink=0.45 gain=+0.00353 bets=409
  [h2h] fold 2024-06-17 train=3323 thr=0.015 shrink=0.28 gain=+0.00205 bets=353
  [h2h] fold 2024-08-01 train=3876 thr=0.030 shrink=0.38 gain=+0.00193 bets=342
  [h2h] fold 2024-09-15 train=4471 thr=0.028 shrink=0.25 gain=+0.00069 bets=99
  [h2h] fold 2025-03-14 train=4664 thr=0.048 shrink=0.18 gain=+0.00117 bets=139
  [h2h] fold 2025-04-28 train=5081 thr=0.085 shrink=0.18 gain=+0.00059 bets=38
  [h2h] fold 2025-06-12 train=5676 thr=0.020 shrink=0.25 gain=+0.00101 bets=451
  [h2h] fold 2025-07-27 train=6227 thr=0.052 shrink=0.33 gain=+0.00139 bets=332
  [h2h] fold 2025-09-10 train=6828 thr=0.018 shrink=0.33 gain=+0.00119 bets=211
  [h2h] fold 2026-03-09 train=7076 thr=0.068 shrink=0.23 gain=+0.00104 bets=136
  [h2h] fold 2026-04-23 train=7443 thr=0.060 shrink=0.18 gain=+0.00049 bets=197
  [h2h] fold 2026-06-07 train=8038 thr=0.130 shrink=0.28 gain=+0.00098 bets=54
  [h2h] fold 2026-07-22 train=8587 thr=0.025 shrink=0.23 gain=+0.00061 bets=336
  [h2h] fold 2026-09-05 train=9192 thr=0.118 shrink=0.20 gain=+0.00087 bets=3
  bets=3100 roi=-0.0140 [-0.0544,+0.0283] p=0.7476 clv=+0.00268 -> FAIL negative_edge

=== spreads ===
  [spreads] fold 2024-05-03 train=36128 thr=0.083 shrink=0.15 gain=+0.00094 bets=374
  [spreads] fold 2024-06-17 train=44707 thr=0.045 shrink=0.05 gain=+0.00012 bets=1725
  [spreads] fold 2024-08-01 train=52716 thr=0.083 shrink=0.08 gain=+0.00019 bets=943
  [spreads] fold 2024-09-15 train=61268 thr=0.035 shrink=0.12 gain=+0.00051 bets=658
  [spreads] fold 2025-03-14 train=64050 thr=0.030 shrink=0.08 gain=+0.00018 bets=723
  [spreads] fold 2025-04-28 train=70001 thr=0.098 shrink=0.03 gain=+0.00004 bets=45
  [spreads] fold 2025-06-12 train=78561 thr=0.010 shrink=0.10 gain=+0.00026 bets=1768
  [spreads] fold 2025-07-27 train=86977 thr=0.095 shrink=0.10 gain=+0.00031 bets=229
  [spreads] fold 2025-09-10 train=96252 thr=0.092 shrink=0.05 gain=+0.00006 bets=13
  [spreads] fold 2026-03-09 train=100011 thr=0.085 shrink=0.05 gain=+0.00010 bets=50
  [spreads] fold 2026-04-23 train=105496 thr=0.030 shrink=0.08 gain=+0.00021 bets=564
  [spreads] fold 2026-06-07 train=114420 thr=0.043 shrink=0.08 gain=+0.00013 bets=277
  [spreads] fold 2026-07-22 train=123316 thr=0.058 shrink=0.05 gain=+0.00004 bets=41
  [spreads] fold 2026-09-05 train=133238 thr=0.088 shrink=0.03 gain=+0.00003 bets=6
  bets=7416 roi=-0.0081 [-0.0706,+0.0534] p=0.6032 clv=+0.00360 -> FAIL negative_edge

=== totals ===
  [totals] fold 2024-05-03 train=46174 thr=0.040 shrink=0.28 gain=+0.00327 bets=7084
  [totals] fold 2024-06-17 train=58045 thr=0.140 shrink=0.20 gain=+0.00206 bets=95
  [totals] fold 2024-08-01 train=69043 thr=0.145 shrink=0.18 gain=+0.00146 bets=119
  [totals] fold 2024-09-15 train=80842 thr=0.158 shrink=0.20 gain=+0.00173 bets=73
  [totals] fold 2025-03-14 train=84670 thr=0.122 shrink=0.28 gain=+0.00315 bets=457
  [totals] fold 2025-04-28 train=93108 thr=0.143 shrink=0.23 gain=+0.00263 bets=105
  [totals] fold 2025-06-12 train=105075 thr=0.147 shrink=0.23 gain=+0.00229 bets=86
  [totals] fold 2025-07-27 train=116081 thr=0.155 shrink=0.20 gain=+0.00208 bets=151
  [totals] fold 2025-09-10 train=128299 thr=0.155 shrink=0.20 gain=+0.00213 bets=85
  [totals] fold 2026-03-09 train=133352 thr=0.158 shrink=0.23 gain=+0.00241 bets=78
  [totals] fold 2026-04-23 train=140864 thr=0.158 shrink=0.23 gain=+0.00241 bets=63
  [totals] fold 2026-06-07 train=152795 thr=0.152 shrink=0.23 gain=+0.00249 bets=75
  [totals] fold 2026-07-22 train=163624 thr=0.155 shrink=0.20 gain=+0.00152 bets=53
  [totals] fold 2026-09-05 train=175739 thr=0.145 shrink=0.25 gain=+0.00261 bets=8
  bets=8532 roi=-0.0169 [-0.0842,+0.0490] p=0.6936 clv=+0.00395 -> FAIL negative_edge

=== batter_hits ===
  [batter_hits] fold 2024-05-03 train=74948 thr=0.072 shrink=0.35 gain=+0.00034 bets=469
  [batter_hits] fold 2024-06-17 train=96148 thr=0.022 shrink=0.35 gain=+0.00031 bets=1819
  [batter_hits] fold 2024-08-01 train=115839 thr=0.015 shrink=0.30 gain=+0.00020 bets=644
  [batter_hits] fold 2024-09-15 train=137011 thr=0.030 shrink=0.38 gain=+0.00025 bets=46
  [batter_hits] fold 2025-03-14 train=143920 thr=0.025 shrink=0.45 gain=+0.00034 bets=480
  [batter_hits] fold 2025-04-28 train=158628 thr=0.090 shrink=0.53 gain=+0.00044 bets=37
  [batter_hits] fold 2025-06-12 train=179772 thr=0.022 shrink=0.58 gain=+0.00048 bets=1376
  [batter_hits] fold 2025-07-27 train=199491 thr=0.007 shrink=0.53 gain=+0.00036 bets=2190
  [batter_hits] fold 2025-09-10 train=220994 thr=0.030 shrink=0.53 gain=+0.00036 bets=285
  [batter_hits] fold 2026-03-09 train=229847 thr=0.033 shrink=0.55 gain=+0.00035 bets=417
  [batter_hits] fold 2026-04-23 train=242877 thr=0.050 shrink=0.53 gain=+0.00033 bets=23
  [batter_hits] fold 2026-06-07 train=262028 thr=0.050 shrink=0.55 gain=+0.00035 bets=206
